check,status
expect_column_to_exist,Success
expect_column_values_to_not_be_null,Success
expect_column_to_exist,Success
expect_column_values_to_be_in_set,Success
expect_column_to_exist,Success
expect_column_values_to_be_between,Success
expect_column_to_exist,Success
expect_column_values_to_be_between,Failed
expect_column_to_exist,Success
expect_column_values_to_be_between,Success
expect_column_to_exist,Success
expect_column_values_to_be_in_set,Success
expect_column_to_exist,Success
expect_column_values_to_be_in_set,Success
expect_column_to_exist,Success
expect_column_values_to_be_in_set,Success
